OBJECTID,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SqMiles
3677,0068041,1007,110010068041007,110010068041007,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260785,149.501292,1055.358385,0.000407
3678,0068041,1008,110010068041008,110010068041008,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266495,147.367525,1078.467526,0.000416
3679,0068041,1009,110010068041009,110010068041009,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11266,138.160818,455.920387,0.000176
3680,0068041,1010,110010068041010,110010068041010,6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.498942,565.69163,6066.001942,0.002342
3681,0068041,1011,110010068041011,110010068041011,762328,0,3630,3527,180,3192,29,21,1,104,75,41,25,11,311,86,3107,24,21,0,8,64,33,19,5,3365,180,2940,25,20,1,101,70,36,21,11,294,86,2870,20,20,0,7,59,28,15,5,0,0,0,188.356187,4423.025086,762250.445818,0.294307
3682,0068041,1012,110010068041012,110010068041012,11502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.841883,815.72819,11500.694251,0.00444
3683,0068041,1013,110010068041013,110010068041013,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144404,180.641677,584.380696,0.000226
3684,0068041,1014,110010068041014,110010068041014,8275,0,40,40,7,33,0,0,0,0,0,0,0,0,4,5,31,0,0,0,0,0,0,0,0,31,6,25,0,0,0,0,0,0,0,0,2,5,24,0,0,0,0,0,0,0,0,13,12,1,2.044714,431.687765,8274.665035,0.003195
3685,0068041,1015,110010068041015,110010068041015,0,63566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.706036,1586.114088,63560.072543,0.024541
3686,0068041,1016,110010068041016,110010068041016,0,114157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.205898,2981.470666,114145.21978,0.044072
