OBJECTID,LICENSE,APPLICANT,TRADE_NAME,ENDORSEMENTS,DESCRIPTIO,CLASS,ADDRESS,ADDRID,BREW_PUB,ENTERTAINMENT,SALES_CONSUMPTION,SIDEWALK_CAFE,SUMMER_GARDEN,TASTING,WINE_PUB,STATUS,TYPE,X,Y,WARD,ZIPCODE
334,ABRA-075950,"Federal Center Hotel Associates, LLC",Holiday Inn (Capitol),,Hotel,C,550 C STREET SW,276671,,CHECKED,,CHECKED,,,,Issued,Hotel,398297.18,135310.64,Ward 6,20024
335,ABRA-075971,"Vini, Inc.","Vini, Inc.",,Wholesaler,A,5766 2ND STREET NE,288721,,,,,,,,Active,Wholesaler,399604.72,143420.32,Ward 4,20011
336,ABRA-075977,"First Vine, LLC",First Vine,,Retail - Liquor Store,A,4221 CONNECTICUT AVENUE NW,309008,,,,,,,,Active,Retail - Liquor Store,394552.23,141770.13,Ward 3,20008
337,ABRA-076011,"Salma, LLC",Red Lounge Hookah,,Restaurant,C,2013 14TH STREET NW,240339,,CHECKED,,,,,,Active,Restaurant,397258.37,138845.27,Ward 1,20009
338,ABRA-076039,"Top Shelf, LLC",Penn Quarter Sports Tavern,,Tavern,C,639 INDIANA AVENUE NW,279871,,CHECKED,,CHECKED,,,,About to Expire,Tavern,398135.97,136272.6,Ward 2,20004
339,ABRA-076052,Safeway Inc.,Safeway,,Retail - Grocery,B,490 L STREET NW,304767,,,,,,CHECKED,,Active,Retail - Grocery,398408.1,137292.77,Ward 6,20001
340,ABRA-076074,"MHG Cafe Dupont, LLC",Circa at Dupont,,Restaurant,C,1601 CONNECTICUT AVENUE NW,241051,,CHECKED,,CHECKED,,,,Active,Restaurant,396176.18,138169.06,Ward 2,20009
341,ABRA-076102,"Austin Grill, LLC",Austin Grill,,Restaurant,C,750 E STREET NW,279929,,,,CHECKED,,,,Safekeeping,Restaurant,398052.97,136454.1,Ward 2,20004
342,ABRA-076139,"Whole Foods Market Group, Inc.",Whole Foods Market,,Retail - Grocery,B,4530 40TH STREET NW,265175,,,,,,CHECKED,,Active,Retail - Grocery,393133.54,142358.92,Ward 3,20016
343,ABRA-076166,"2007 14th Street Productions, LLC",Marvin,,Tavern,C,2007 14TH STREET NW,240358,,CHECKED,,,CHECKED,,,About to Expire,Tavern,397257.32,138828.08,Ward 1,20009
344,ABRA-076197,"Lim Enterprises, Corp",Press Liquors,,Retail - Liquor Store,A,527 14TH STREET NW,295084,,,,,,,,Issued,Retail - Liquor Store,397250.49,136519.99,Ward 2,20004
345,ABRA-076233,POW LLC,Show Bar,,Tavern,C,1210 H STREET NE,71852,,CHECKED,,,,,,Safekeeping,Tavern,400889.88,136951.82,Ward 6,20002
346,ABRA-076260,"Langston Bar & Grille, LLC",Langston Bar & Grille,,Tavern,C,1831 BENNING ROAD NE,55096,,,,,,,,About to Expire,Tavern,402009.06,136767.77,Ward 6,20002
347,ABRA-076279,Nanny O's LLC,Nanny O'Brien's Irish Pub,,Tavern,C,3319 CONNECTICUT AVENUE NW,219238,,CHECKED,,,,,,About to Expire,Tavern,395039.48,140693.79,Ward 3,20008
348,ABRA-076330,"Jvlhc, LLC",Jimmy Valentine's Lonely Hearts Club,,Tavern,C,1103 BLADENSBURG ROAD NE,74450,,CHECKED,,,,,,About to Expire,Tavern,401682.69,137339.92,Ward 5,20002
349,ABRA-076380,"L'Aziatique, Inc.",Aoi Japnese Restaurant,,Restaurant,C,1100 NEW YORK AVENUE NW,297684,,,,,CHECKED,,,Active,Restaurant,397619.45,136979.92,Ward 2,20005
350,ABRA-076393,"YDK, Inc.",Guilford Liquor,,Retail - Liquor Store,A,446 RHODE ISLAND AVENUE NW,279787,,,,,,CHECKED,,Active,Retail - Liquor Store,398373.69,138366.1,Ward 6,20001
351,ABRA-076413,"Myungjoon, Inc.",Los Primos,,Retail - Grocery,B,3170 MOUNT PLEASANT STREET NW,236464,,,,,,,,Active,Retail - Grocery,396680.22,140296.55,Ward 1,20010
352,ABRA-076414,"Park & Song, Inc.",Congress Market,,Retail - Grocery,B,421 EAST CAPITOL STREET SE,25551,,,,,,,,Active,Retail - Grocery,400023.62,135744.98,Ward 6,20003
353,ABRA-074162,"ZG Market, Inc.",Jubilee Market,,Retail - Grocery,B,2316 4TH STREET NE,48592,,,,,,,,Active,Retail - Grocery,399929.45,139214.72,Ward 5,20002
354,ABRA-101301,"Upshur Hospitality, LLC",Alfie's,,Restaurant,C,3301 GEORGIA AVENUE NW,228866,,,,,CHECKED,,,Active,Restaurant,397979.96,140388.06,Ward 1,20010
355,ABRA-100343,Ruth Achard,Food Town Market,,Retail - Grocery,B,4000 TUNLAW ROAD NW,224803,,,,,,,,Active,Retail - Grocery,393041.79,139715.13,Ward 3,20007
356,ABRA-095433,"Biricoco, LLC",Al Crostino,,Restaurant,C,1926 9TH STREET NW,239489,,CHECKED,,,,,,Active,Restaurant,397902.77,138719.88,Ward 1,20001
357,ABRA-100438,"Callister Technology and Entertainment, Inc.",Duffy's Irish Restaurant and Pub,,Tavern,C,2106 VERMONT AVENUE NW,218618,,CHECKED,,CHECKED,,,,About to Expire,Tavern,397846.02,138950.05,Ward 1,20001
358,ABRA-100340,Belay Abere,Amsterdam Lounge,,Tavern,C,1208 U STREET NW,218050,,CHECKED,,,CHECKED,,,About to Expire,Tavern,397528.61,138770.97,Ward 1,20009
359,ABRA-101102,"City Tap House 901 DC, LLC",City Tap House,,Restaurant,C,901 9TH STREET NW,285597,,CHECKED,,CHECKED,,,,Active,Restaurant,397955.21,137030.12,Ward 2,20001
360,ABRA-100543,"The Bottle Shop, Inc.",The Bottle Shop,,Retail - Grocery,B,2216 18TH STREET NW,235471,,,,,,CHECKED,,Active,Retail - Grocery,396369.33,139042.59,Ward 1,20009
